datetime_id,product_id,qty_sold_kg
20240101,1,230.14000000000001
20240101,2,237.96
20240101,3,294.28
20240101,4,255.86
20240101,5,278.06
20240101,6,311.63
20240101,7,248.3
20240101,8,285.87
20240101,9,256.29
20240101,10,270.2
20240101,11,225.54
20240101,12,269.1
20240101,13,318.32
20240101,14,232.56
20240101,15,308.67
20240101,16,186.38
20240101,17,230.12
20240101,18,228.82
20240101,19,217.07
20240101,20,187.03
20240101,21,223.87
20240101,22,181.93
20240101,23,175.14
20240101,24,171.98
20240101,25,186.48
20240101,26,198.04
20240101,27,213.27
20240101,28,205.3
20240101,29,189.8
20240101,30,200.83
20240101,31,193.27
20240101,32,182.55
20240101,33,200.17
20240101,34,179.6
20240101,35,190.25
20240101,36,197.11
20240101,37,180.29
20240101,38,208.04
20240101,39,213.74
20240101,40,186.6
20240101,41,179.1
20240101,42,209.51
20240101,43,173.51
20240101,44,170.98
20240101,45,208.96
20240101,46,180.45
20240101,47,197.81
20240101,48,219.04
20240101,49,195.52
20240101,50,199.22
20240101,51,212.16
20240101,52,209.87
20240101,53,200.49
20240101,54,233.3
20240101,55,198.29
20240101,56,158.7
20240101,57,221.03
20240101,58,214.56
20240101,59,224.15
20240101,60,219.25
20240101,61,188.7
20240101,62,219.0
20240101,63,210.56
20240101,64,200.42
20240101,65,145.17
20240101,66,203.52
20240101,67,194.86
20240101,68,210.07
20240101,69,226.93
20240101,70,211.55
20240101,71,175.53
20240101,72,207.01
20240101,73,203.32
20240101,74,183.32
20240101,75,200.68
20240101,76,183.57
20240101,77,198.24
20240101,78,233.0
20240103,1,174.07
20240103,2,177.14000000000001
20240103,3,206.21
20240103,4,242.47
20240103,5,219.59
20240103,6,202.82
20240103,7,194.60999999999999
20240103,8,143.34
20240103,9,219.73
20240103,10,171.26
20240103,11,220.23
20240103,12,185.46
20240103,13,223.60999999999999
20240103,14,179.23
20240103,15,200.42
20240103,16,155.72
20240103,17,170.6
20240103,18,139.78
20240103,19,142.42000000000002
20240103,20,130.17
20240103,21,123.24
20240103,22,148.5
20240103,23,127.27
20240103,24,135.12
20240103,25,124.2
20240103,26,158.14
